FID,INDICATIVO,NOMBRE,PROVINCIA,ALTITUD,COORD_X,COORD_Y,VAR_OBSVER,DATUM,TIPO
269,7066Y,EMBALSE DE LA FUENSANTA (AUTOMÁTICA),ALBACETE,680.000000000000000,568104.005000000000000,4249579.820000000300000,hHmtTMpP,ETRS89,AUTOMATICAS
270,0092X,"BERGA, INSTITUTO",BARCELONA,682.000000000000000,901697.000000000000000,4672469.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
271,0222X,CALDES DE MONTBUI,BARCELONA,175.000000000000000,930684.000000000000000,4619709.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
272,0341X,TONA,BARCELONA,607.000000000000000,933617.000000000000000,4645992.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
273,0411X,CASTELLO D'EMPURIES,GIRONA,2.000000000000000,1002927.000000000000000,4692742.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
274,1021X,RENTERIA (PRESA DEL AÑARBE),GIPUZKOA,165.000000000000000,591064.000000000000000,4785085.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
275,1050J,"ELGOIBAR,IBERDROLA",GIPUZKOA,120.000000000000000,547656.000000000000000,4784241.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
276,1082,BILBAO/AEROPUERTO,BIZKAIA,42.000000000000000,507593.000000000000000,4793919.000000000000000,FRhreENvIHBVmtTMpP,ETRS89,AUTOMATICAS
277,1159,"SAN VICENTE, FARO",CANTABRIA,40.000000000000000,387248.000000000000000,4805437.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
278,1212E,ASTURIAS/AVILÉS,ASTURIAS,127.000000000000000,254162.000000000000000,4828281.000000000000000,heNvIHBVmtTMpP,ETRS89,AUTOMATICAS
279,1309C,SAN ANTOLIN DE IBIAS-LINARES,ASTURIAS,780.000000000000000,183464.000000000000000,4771200.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
280,1347T,BURELA,LUGO,80.000000000000000,148606.000000000000000,4842360.000000000000000,heIHBVmtTMpP,ETRS89,AUTOMATICAS
281,1410X,SOBRADO DOS MONXES,A CORUÑA,500.000000000000000,90861.000000000000000,4777269.000000000000000,hIHBVmtTMpP,ETRS89,AUTOMATICAS
282,1476R,CASAS DO PORTO,A CORUÑA,210.000000000000000,32254.000000000000000,4748890.000000000000000,hIHBmtTMpP,ETRS89,AUTOMATICAS
283,1549,PONFERRADA,LEON,534.000000000000000,204486.000000000000000,4718674.000000000000000,dRhSeENvIHBVmtTMpP,ETRS89,AUTOMATICAS
284,1701X,RIBADAVIA,OURENSE,112.000000000000000,77161.000000000000000,4695847.000000000000000,hIHBVmtTMpP,ETRS89,AUTOMATICAS
285,2048A,MORÓN DE ALMAZÁN,SORIA,978.000000000000000,548445.000000000000000,4585483.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
286,2172Y,SARDÓN DE DUERO,VALLADOLID,725.000000000000000,382889.000000000000000,4607647.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
287,5270B,JAÉN,JAEN,580.000000000000000,428767.000000000000000,4181437.000000000000000,heNvIHBVmtTMpP,ETRS89,AUTOMATICAS
288,5281X,BAILÉN,JAEN,345.000000000000000,431385.000000000000000,4216429.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
289,5298X,ANDÚJAR,JAEN,202.000000000000000,406621.000000000000000,4208907.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
290,5304Y,PUERTOLLANO,CIUDAD REAL,665.000000000000000,407858.000000000000000,4280566.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
291,5341C,FUENCALIENTE,CIUDAD REAL,710.000000000000000,386384.000000000000000,4254206.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
292,5346X,"CARDEÑA, SANTA ELENA",CORDOBA,720.000000000000000,388560.000000000000000,4227292.000000000000000,hHmtTMpP,ETRS89,AUTOMATICAS
293,5361X,"MONTORO,VEGA ARMIJO",CORDOBA,155.000000000000000,383224.000000000000000,4208130.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
294,5390Y,VILLANUEVA DE CÓRDOBA,CORDOBA,750.000000000000000,359381.000000000000000,4243995.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
295,5394X,"CORDOBA , EMBALSE DE GUADANUÑO",CORDOBA,525.000000000000000,342296.000000000000000,4209651.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
296,5402,CÓRDOBA/AEROPUERTO,CORDOBA,90.000000000000000,337528.000000000000000,4190657.000000000000000,UiDdRheENvIHBVmtTMpP,ETRS89,AUTOMATICAS
297,5412X,"PRIEGO DE CÓRDOBA, SAN FELIX",CORDOBA,550.000000000000000,393221.000000000000000,4149332.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
298,5422S,BOBADILLA DE ALCAUDETE,JAEN,583.000000000000000,402685.000000000000000,4168850.000000000000000, ,ETRS89,AUTOMATICAS
299,5427X,DOÑA MENCÍA 'AUTOMÁTICA',CORDOBA,650.000000000000000,380416.000000000000000,4157428.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
300,5429X,CÓRDOBA (PRÁGDENA 'AUTOMÁTICA'),CORDOBA,275.000000000000000,371287.000000000000000,4185773.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
301,5459X,ESPIEL-C.TÉRMICA,CORDOBA,465.000000000000000,330921.000000000000000,4219901.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
